#Title PL_1_Sweep
#Graph Cartesian - Linear Scale
rotation	PL
-3.825000e+001	-9.526988e+001
-3.800000e+001	-9.540125e+001
-3.775000e+001	-9.469042e+001
-3.750000e+001	-9.381014e+001
-3.725000e+001	-9.336101e+001
-3.700000e+001	-9.355441e+001
-3.675000e+001	-9.430118e+001
-3.650000e+001	-9.510061e+001
-3.625000e+001	-9.510435e+001
-3.600000e+001	-9.421582e+001
-3.575000e+001	-9.327443e+001
-3.550000e+001	-9.288838e+001
-3.525000e+001	-9.322282e+001
-3.500000e+001	-9.410058e+001
-3.475000e+001	-9.482450e+001
-3.450000e+001	-9.449884e+001
-3.425000e+001	-9.342799e+001
-3.400000e+001	-9.258873e+001
-3.375000e+001	-9.246657e+001
-3.350000e+001	-9.310922e+001
-3.325000e+001	-9.413471e+001
-3.300000e+001	-9.452272e+001
-3.275000e+001	-9.369129e+001
-3.250000e+001	-9.257204e+001
-3.225000e+001	-9.204519e+001
-3.200000e+001	-9.237219e+001
-3.175000e+001	-9.340020e+001
-3.150000e+001	-9.431869e+001
-3.125000e+001	-9.394701e+001
-3.100000e+001	-9.271458e+001
-3.075000e+001	-9.184966e+001
-3.050000e+001	-9.186553e+001
-3.025000e+001	-9.276725e+001
-3.000000e+001	-9.398351e+001
-2.975000e+001	-9.411304e+001
-2.950000e+001	-9.289393e+001
-2.925000e+001	-9.175419e+001
-2.900000e+001	-9.149312e+001
-2.875000e+001	-9.223710e+001
-2.850000e+001	-9.359239e+001
-2.825000e+001	-9.414530e+001
-2.800000e+001	-9.300474e+001
-2.775000e+001	-9.164676e+001
-2.750000e+001	-9.115953e+001
-2.725000e+001	-9.176341e+001
-2.700000e+001	-9.316668e+001
-2.675000e+001	-9.403243e+001
-2.650000e+001	-9.297214e+001
-2.625000e+001	-9.143073e+001
-2.600000e+001	-9.076416e+001
-2.575000e+001	-9.126993e+001
-2.550000e+001	-9.272062e+001
-2.525000e+001	-9.375305e+001
-2.500000e+001	-9.269327e+001
-2.475000e+001	-9.103687e+001
-2.450000e+001	-9.030487e+001
-2.425000e+001	-9.081573e+001
-2.400000e+001	-9.234387e+001
-2.375000e+001	-9.341736e+001
-2.350000e+001	-9.222895e+001
-2.325000e+001	-9.049877e+001
-2.300000e+001	-8.979222e+001
-2.275000e+001	-9.039848e+001
-2.250000e+001	-9.203803e+001
-2.225000e+001	-9.300123e+001
-2.200000e+001	-9.155756e+001
-2.175000e+001	-8.981501e+001
-2.150000e+001	-8.923356e+001
-2.125000e+001	-9.002466e+001
-2.100000e+001	-9.178895e+001
-2.075000e+001	-9.243050e+001
-2.050000e+001	-9.066278e+001
-2.025000e+001	-8.900468e+001
-2.000000e+001	-8.865241e+001
-1.975000e+001	-8.971111e+001
-1.950000e+001	-9.154526e+001
-1.925000e+001	-9.159554e+001
-1.900000e+001	-8.955192e+001
-1.875000e+001	-8.810382e+001
-1.850000e+001	-8.808237e+001
-1.825000e+001	-8.946434e+001
-1.800000e+001	-9.117724e+001
-1.775000e+001	-9.040317e+001
-1.750000e+001	-8.826524e+001
-1.725000e+001	-8.716031e+001
-1.700000e+001	-8.755688e+001
-1.675000e+001	-8.924857e+001
-1.650000e+001	-9.045578e+001
-1.625000e+001	-8.884516e+001
-1.600000e+001	-8.686682e+001
-1.575000e+001	-8.621958e+001
-1.550000e+001	-8.708661e+001
-1.525000e+001	-8.892125e+001
-1.500000e+001	-8.913448e+001
-1.475000e+001	-8.700530e+001
-1.450000e+001	-8.541891e+001
-1.425000e+001	-8.530576e+001
-1.400000e+001	-8.661651e+001
-1.375000e+001	-8.815342e+001
-1.350000e+001	-8.715394e+001
-1.325000e+001	-8.500113e+001
-1.300000e+001	-8.395109e+001
-1.275000e+001	-8.438524e+001
-1.250000e+001	-8.593074e+001
-1.225000e+001	-8.653027e+001
-1.200000e+001	-8.468035e+001
-1.175000e+001	-8.289015e+001
-1.150000e+001	-8.241861e+001
-1.125000e+001	-8.318558e+001
-1.100000e+001	-8.449108e+001
-1.075000e+001	-8.389529e+001
-1.050000e+001	-8.191322e+001
-1.025000e+001	-8.066198e+001
-1.000000e+001	-8.068069e+001
-9.750000e+000	-8.165193e+001
-9.500000e+000	-8.203635e+001
-9.250000e+000	-8.049075e+001
-9.000000e+000	-7.865005e+001
-8.750000e+000	-7.774596e+001
-8.500000e+000	-7.781608e+001
-8.250000e+000	-7.804618e+001
-8.000000e+000	-7.702806e+001
-7.750000e+000	-7.498308e+001
-7.500000e+000	-7.315381e+001
-7.250000e+000	-7.472950e+001
-7.000000e+000	-7.484191e+001
-6.750000e+000	-7.484429e+001
-6.500000e+000	-7.393214e+001
-6.250000e+000	-7.246897e+001
-6.000000e+000	-7.457207e+001
-5.750000e+000	-7.655976e+001
-5.500000e+000	-6.419035e+001
-5.250000e+000	-6.435213e+001
-5.000000e+000	-6.486907e+001
-4.750000e+000	-6.536783e+001
-4.500000e+000	-6.631492e+001
-4.250000e+000	-6.679946e+001
-4.000000e+000	-6.699000e+001
-3.750000e+000	-6.726631e+001
-3.500000e+000	-6.785504e+001
-3.250000e+000	-6.873059e+001
-3.000000e+000	-6.962069e+001
-2.750000e+000	-7.007438e+001
-2.500000e+000	-6.978043e+001
-2.250000e+000	-6.889794e+001
-2.000000e+000	-6.785958e+001
-1.750000e+000	-6.701507e+001
-1.500000e+000	-6.654370e+001
-1.250000e+000	-6.648152e+001
-1.000000e+000	-7.417125e+001
-7.500000e-001	-7.628891e+001
-5.000000e-001	-6.742493e+001
-2.500000e-001	-6.753161e+001
0.000000e+000	-6.754508e+001
2.500000e-001	-6.753161e+001
5.000000e-001	-6.742493e+001
7.500000e-001	-6.712068e+001
1.000000e+000	-6.673918e+001
1.250000e+000	-6.648152e+001
1.500000e+000	-6.654370e+001
1.750000e+000	-6.701507e+001
2.000000e+000	-6.785958e+001
2.250000e+000	-6.889794e+001
2.500000e+000	-6.978043e+001
2.750000e+000	-7.007438e+001
3.000000e+000	-6.962069e+001
3.250000e+000	-6.873059e+001
3.500000e+000	-6.785504e+001
3.750000e+000	-8.465145e+001
4.000000e+000	-6.699000e+001
4.250000e+000	-6.679946e+001
4.500000e+000	-6.631492e+001
4.750000e+000	-6.536783e+001
5.000000e+000	-6.487037e+001
5.250000e+000	-6.435717e+001
5.500000e+000	-7.735009e+001
5.750000e+000	-7.656633e+001
6.000000e+000	-7.457248e+001
6.250000e+000	-7.248905e+001
6.500000e+000	-7.395715e+001
6.750000e+000	-7.487178e+001
7.000000e+000	-7.485758e+001
7.250000e+000	-7.472950e+001
7.500000e+000	-7.315381e+001
7.750000e+000	-7.498308e+001
8.000000e+000	-7.702806e+001
8.250000e+000	-7.804618e+001
8.500000e+000	-7.781608e+001
8.750000e+000	-7.774596e+001
9.000000e+000	-7.865005e+001
9.250000e+000	-8.049075e+001
9.500000e+000	-8.203635e+001
9.750000e+000	-8.165193e+001
1.000000e+001	-8.068069e+001
1.025000e+001	-8.066198e+001
1.050000e+001	-8.191322e+001
1.075000e+001	-8.389529e+001
1.100000e+001	-8.449108e+001
1.125000e+001	-8.318558e+001
1.150000e+001	-8.241861e+001
1.175000e+001	-8.289015e+001
1.200000e+001	-8.468035e+001
1.225000e+001	-8.653027e+001
1.250000e+001	-8.593074e+001
1.275000e+001	-8.438524e+001
1.300000e+001	-8.395109e+001
1.325000e+001	-8.500113e+001
1.350000e+001	-8.715394e+001
1.375000e+001	-8.815342e+001
1.400000e+001	-8.661651e+001
1.425000e+001	-8.530576e+001
1.450000e+001	-8.541891e+001
1.475000e+001	-8.700530e+001
1.500000e+001	-8.913448e+001
1.525000e+001	-8.892125e+001
1.550000e+001	-8.708661e+001
1.575000e+001	-8.621958e+001
1.600000e+001	-8.686682e+001
1.625000e+001	-8.884516e+001
1.650000e+001	-9.045578e+001
1.675000e+001	-8.924857e+001
1.700000e+001	-8.755688e+001
1.725000e+001	-8.716031e+001
1.750000e+001	-8.826524e+001
1.775000e+001	-9.040317e+001
1.800000e+001	-9.117724e+001
1.825000e+001	-8.946434e+001
