#Title PREC_1_Sweep
#Graph Cartesian - Linear Scale
rotation	PREC
-4.900000e+001	-6.520017e+001
-4.875000e+001	-6.492758e+001
-4.850000e+001	-6.480676e+001
-4.825000e+001	-6.491498e+001
-4.800000e+001	-6.522869e+001
-4.775000e+001	-6.560879e+001
-4.750000e+001	-6.581507e+001
-4.725000e+001	-6.564676e+001
-4.700000e+001	-6.514882e+001
-4.675000e+001	-6.457518e+001
-4.650000e+001	-6.417352e+001
-4.625000e+001	-6.407248e+001
-4.600000e+001	-6.426797e+001
-4.575000e+001	-6.461294e+001
-4.550000e+001	-6.482236e+001
-4.525000e+001	-6.464529e+001
-4.500000e+001	-6.413148e+001
-4.475000e+001	-6.358458e+001
-4.450000e+001	-6.327999e+001
-4.425000e+001	-6.333974e+001
-4.400000e+001	-6.372264e+001
-4.375000e+001	-6.420446e+001
-4.350000e+001	-6.441805e+001
-4.325000e+001	-6.415525e+001
-4.300000e+001	-6.362848e+001
-4.275000e+001	-6.322180e+001
-4.250000e+001	-6.318210e+001
-4.225000e+001	-6.356116e+001
-4.200000e+001	-6.420369e+001
-4.175000e+001	-6.471601e+001
-4.150000e+001	-6.468106e+001
-4.125000e+001	-6.416430e+001
-4.100000e+001	-6.363292e+001
-4.075000e+001	-6.346130e+001
-4.050000e+001	-6.378044e+001
-4.025000e+001	-6.449115e+001
-4.000000e+001	-6.519391e+001
-3.975000e+001	-6.530157e+001
-3.950000e+001	-6.472111e+001
-3.925000e+001	-6.400978e+001
-3.900000e+001	-6.366844e+001
-3.875000e+001	-6.388953e+001
-3.850000e+001	-6.460197e+001
-3.825000e+001	-6.538726e+001
-3.800000e+001	-6.551863e+001
-3.775000e+001	-6.480780e+001
-3.750000e+001	-6.392752e+001
-3.725000e+001	-6.347839e+001
-3.700000e+001	-6.367179e+001
-3.675000e+001	-6.441856e+001
-3.650000e+001	-6.521799e+001
-3.625000e+001	-6.522173e+001
-3.600000e+001	-6.433320e+001
-3.575000e+001	-6.339181e+001
-3.550000e+001	-6.300576e+001
-3.525000e+001	-6.334020e+001
-3.500000e+001	-6.421796e+001
-3.475000e+001	-6.494188e+001
-3.450000e+001	-6.461622e+001
-3.425000e+001	-6.354537e+001
-3.400000e+001	-6.270611e+001
-3.375000e+001	-6.258395e+001
-3.350000e+001	-6.322660e+001
-3.325000e+001	-6.425209e+001
-3.300000e+001	-6.464010e+001
-3.275000e+001	-6.380867e+001
-3.250000e+001	-6.268942e+001
-3.225000e+001	-6.216257e+001
-3.200000e+001	-6.248957e+001
-3.175000e+001	-6.351758e+001
-3.150000e+001	-6.443607e+001
-3.125000e+001	-6.406439e+001
-3.100000e+001	-6.283196e+001
-3.075000e+001	-6.196704e+001
-3.050000e+001	-6.198291e+001
-3.025000e+001	-6.288463e+001
-3.000000e+001	-6.410089e+001
-2.975000e+001	-6.423042e+001
-2.950000e+001	-6.301131e+001
-2.925000e+001	-6.187157e+001
-2.900000e+001	-6.161050e+001
-2.875000e+001	-6.235448e+001
-2.850000e+001	-6.370977e+001
-2.825000e+001	-6.426268e+001
-2.800000e+001	-6.312212e+001
-2.775000e+001	-6.176414e+001
-2.750000e+001	-6.127691e+001
-2.725000e+001	-6.188079e+001
-2.700000e+001	-6.328406e+001
-2.675000e+001	-6.414981e+001
-2.650000e+001	-6.308952e+001
-2.625000e+001	-6.154811e+001
-2.600000e+001	-6.088154e+001
-2.575000e+001	-6.138731e+001
-2.550000e+001	-6.283800e+001
-2.525000e+001	-6.387043e+001
-2.500000e+001	-6.281065e+001
-2.475000e+001	-6.115425e+001
-2.450000e+001	-6.042225e+001
-2.425000e+001	-6.093311e+001
-2.400000e+001	-6.246125e+001
-2.375000e+001	-6.353474e+001
-2.350000e+001	-6.234633e+001
-2.325000e+001	-6.061615e+001
-2.300000e+001	-5.990960e+001
-2.275000e+001	-6.051586e+001
-2.250000e+001	-6.215541e+001
-2.225000e+001	-6.311861e+001
-2.200000e+001	-6.167494e+001
-2.175000e+001	-5.993239e+001
-2.150000e+001	-5.935094e+001
-2.125000e+001	-6.014204e+001
-2.100000e+001	-6.190633e+001
-2.075000e+001	-6.254788e+001
-2.050000e+001	-6.078016e+001
-2.025000e+001	-5.912206e+001
-2.000000e+001	-5.876979e+001
-1.975000e+001	-5.982849e+001
-1.950000e+001	-6.166264e+001
-1.925000e+001	-6.171292e+001
-1.900000e+001	-5.966930e+001
-1.875000e+001	-5.822120e+001
-1.850000e+001	-5.819975e+001
-1.825000e+001	-5.958172e+001
-1.800000e+001	-6.129462e+001
-1.775000e+001	-6.052055e+001
-1.750000e+001	-5.838262e+001
-1.725000e+001	-5.727769e+001
-1.700000e+001	-5.767426e+001
-1.675000e+001	-5.936595e+001
-1.650000e+001	-6.057316e+001
-1.625000e+001	-5.896254e+001
-1.600000e+001	-5.698420e+001
-1.575000e+001	-5.633696e+001
-1.550000e+001	-5.720399e+001
-1.525000e+001	-5.903863e+001
-1.500000e+001	-5.925186e+001
-1.475000e+001	-5.712268e+001
-1.450000e+001	-5.553629e+001
-1.425000e+001	-5.542314e+001
-1.400000e+001	-5.673389e+001
-1.375000e+001	-5.827080e+001
-1.350000e+001	-5.727132e+001
-1.325000e+001	-5.511851e+001
-1.300000e+001	-5.406847e+001
-1.275000e+001	-5.450262e+001
-1.250000e+001	-5.604812e+001
-1.225000e+001	-5.664765e+001
-1.200000e+001	-5.479773e+001
-1.175000e+001	-5.300753e+001
-1.150000e+001	-5.253599e+001
-1.125000e+001	-5.330296e+001
-1.100000e+001	-5.460846e+001
-1.075000e+001	-5.401267e+001
-1.050000e+001	-5.203060e+001
-1.025000e+001	-5.077936e+001
-1.000000e+001	-5.079807e+001
-9.750000e+000	-5.176931e+001
-9.500000e+000	-5.215373e+001
-9.250000e+000	-5.060813e+001
-9.000000e+000	-4.876743e+001
-8.750000e+000	-4.786334e+001
-8.500000e+000	-4.793346e+001
-8.250000e+000	-4.816356e+001
-8.000000e+000	-4.714544e+001
-7.750000e+000	-4.510046e+001
-7.500000e+000	-4.327119e+001
-7.250000e+000	-4.484688e+001
-7.000000e+000	-4.495929e+001
-6.750000e+000	-4.496167e+001
-6.500000e+000	-4.404952e+001
-6.250000e+000	-4.258635e+001
-6.000000e+000	-4.468945e+001
-5.750000e+000	-4.667714e+001
-5.500000e+000	-3.430773e+001
-5.250000e+000	-3.446951e+001
-5.000000e+000	-3.498645e+001
-4.750000e+000	-3.548521e+001
-4.500000e+000	-3.643230e+001
-4.250000e+000	-3.691684e+001
-4.000000e+000	-3.710738e+001
-3.750000e+000	-3.738369e+001
-3.500000e+000	-3.797242e+001
-3.250000e+000	-3.884797e+001
-3.000000e+000	-3.973807e+001
-2.750000e+000	-4.019176e+001
-2.500000e+000	-3.989781e+001
-2.250000e+000	-3.901532e+001
-2.000000e+000	-3.797696e+001
-1.750000e+000	-3.713245e+001
-1.500000e+000	-3.666108e+001
-1.250000e+000	-3.659890e+001
-1.000000e+000	-4.428863e+001
-7.500000e-001	-4.640629e+001
-5.000000e-001	-3.754231e+001
-2.500000e-001	-3.764899e+001
0.000000e+000	-3.766246e+001
2.500000e-001	-3.764899e+001
5.000000e-001	-3.754231e+001
7.500000e-001	-3.723806e+001
1.000000e+000	-3.685656e+001
1.250000e+000	-3.659890e+001
1.500000e+000	-3.666108e+001
1.750000e+000	-3.713245e+001
2.000000e+000	-3.797696e+001
2.250000e+000	-3.901532e+001
2.500000e+000	-3.989781e+001
2.750000e+000	-4.019176e+001
3.000000e+000	-3.973807e+001
3.250000e+000	-3.884797e+001
3.500000e+000	-3.797242e+001
3.750000e+000	-5.476883e+001
4.000000e+000	-3.710738e+001
4.250000e+000	-3.691684e+001
4.500000e+000	-3.643230e+001
4.750000e+000	-3.548521e+001
5.000000e+000	-3.498775e+001
5.250000e+000	-3.447455e+001
5.500000e+000	-4.746747e+001
5.750000e+000	-4.668371e+001
6.000000e+000	-4.468986e+001
6.250000e+000	-4.260643e+001
6.500000e+000	-4.407453e+001
6.750000e+000	-4.498916e+001
7.000000e+000	-4.497496e+001
7.250000e+000	-4.484688e+001
7.500000e+000	-4.327119e+001
7.750000e+000	-4.510046e+001
8.000000e+000	-4.714544e+001
8.250000e+000	-4.816356e+001
8.500000e+000	-4.793346e+001
8.750000e+000	-4.786334e+001
9.000000e+000	-4.876743e+001
9.250000e+000	-5.060813e+001
9.500000e+000	-5.215373e+001
9.750000e+000	-5.176931e+001
1.000000e+001	-5.079807e+001
1.025000e+001	-5.077936e+001
1.050000e+001	-5.203060e+001
1.075000e+001	-5.401267e+001
1.100000e+001	-5.460846e+001
1.125000e+001	-5.330296e+001
1.150000e+001	-5.253599e+001
1.175000e+001	-5.300753e+001
1.200000e+001	-5.479773e+001
1.225000e+001	-5.664765e+001
1.250000e+001	-5.604812e+001
1.275000e+001	-5.450262e+001
1.300000e+001	-5.406847e+001
1.325000e+001	-5.511851e+001
1.350000e+001	-5.727132e+001
1.375000e+001	-5.827080e+001
1.400000e+001	-5.673389e+001
1.425000e+001	-5.542314e+001
1.450000e+001	-5.553629e+001
1.475000e+001	-5.712268e+001
1.500000e+001	-5.925186e+001
1.525000e+001	-5.903863e+001
1.550000e+001	-5.720399e+001
1.575000e+001	-5.633696e+001
1.600000e+001	-5.698420e+001
1.625000e+001	-5.896254e+001
1.650000e+001	-6.057316e+001
1.675000e+001	-5.936595e+001
1.700000e+001	-5.767426e+001
1.725000e+001	-5.727769e+001
1.750000e+001	-5.838262e+001
1.775000e+001	-6.052055e+001
1.800000e+001	-6.129462e+001
1.825000e+001	-5.958172e+001
1.850000e+001	-5.819975e+001
1.875000e+001	-5.822120e+001
1.900000e+001	-5.966930e+001
1.925000e+001	-6.171292e+001
1.950000e+001	-6.166264e+001
1.975000e+001	-5.982849e+001
2.000000e+001	-5.876979e+001
2.025000e+001	-5.912206e+001
2.050000e+001	-6.078016e+001
2.075000e+001	-6.254788e+001
2.100000e+001	-6.190633e+001
2.125000e+001	-6.014204e+001
2.150000e+001	-5.935094e+001
2.175000e+001	-5.993239e+001
2.200000e+001	-6.167494e+001
2.225000e+001	-6.311861e+001
2.250000e+001	-6.215541e+001
2.275000e+001	-6.051586e+001
2.300000e+001	-5.990960e+001
2.325000e+001	-6.061615e+001
2.350000e+001	-6.234633e+001
2.375000e+001	-6.353474e+001
2.400000e+001	-6.246125e+001
2.425000e+001	-6.093311e+001
2.450000e+001	-6.042225e+001
2.475000e+001	-6.115425e+001
2.500000e+001	-6.281065e+001
2.525000e+001	-6.387043e+001
2.550000e+001	-6.283800e+001
2.575000e+001	-6.138731e+001
2.600000e+001	-6.088154e+001
2.625000e+001	-6.154811e+001
2.650000e+001	-6.308952e+001
2.675000e+001	-6.414981e+001
2.700000e+001	-6.328406e+001
2.725000e+001	-6.188079e+001
2.750000e+001	-6.127691e+001
2.775000e+001	-6.176414e+001
2.800000e+001	-6.312212e+001
2.825000e+001	-6.426268e+001
2.850000e+001	-6.370977e+001
2.875000e+001	-6.235448e+001
2.900000e+001	-6.161050e+001
2.925000e+001	-6.187157e+001
2.950000e+001	-6.301131e+001
2.975000e+001	-6.423042e+001
3.000000e+001	-6.410089e+001
3.025000e+001	-6.288463e+001
3.050000e+001	-6.198291e+001
3.075000e+001	-6.196704e+001
3.100000e+001	-6.283196e+001
3.125000e+001	-6.406439e+001
3.150000e+001	-6.443607e+001
3.175000e+001	-6.351758e+001
3.200000e+001	-6.248957e+001
3.225000e+001	-6.216257e+001
3.250000e+001	-6.268942e+001
3.275000e+001	-6.380867e+001
3.300000e+001	-6.464010e+001
3.325000e+001	-6.425209e+001
3.350000e+001	-6.322660e+001
3.375000e+001	-6.258395e+001
3.400000e+001	-6.270611e+001
3.425000e+001	-6.354537e+001
3.450000e+001	-6.461622e+001
3.475000e+001	-6.494188e+001
3.500000e+001	-6.421796e+001
3.525000e+001	-6.334020e+001
3.550000e+001	-6.300576e+001
3.575000e+001	-6.339181e+001
3.600000e+001	-6.433320e+001
3.625000e+001	-6.522173e+001
3.650000e+001	-6.521799e+001
3.675000e+001	-6.441856e+001
3.700000e+001	-6.367179e+001
3.725000e+001	-6.347839e+001
3.750000e+001	-6.392752e+001
3.775000e+001	-6.480780e+001
3.800000e+001	-6.551863e+001
3.825000e+001	-6.538726e+001
3.850000e+001	-6.460197e+001
3.875000e+001	-6.388953e+001
3.900000e+001	-6.366844e+001
3.925000e+001	-6.400978e+001
3.950000e+001	-6.472111e+001
3.975000e+001	-6.530157e+001
4.000000e+001	-6.519391e+001
4.025000e+001	-6.449115e+001
4.050000e+001	-6.378044e+001
4.075000e+001	-6.346130e+001
4.100000e+001	-6.363292e+001
4.125000e+001	-6.416430e+001
4.150000e+001	-6.468106e+001
4.175000e+001	-6.471601e+001
4.200000e+001	-6.420369e+001
4.225000e+001	-6.356116e+001
4.250000e+001	-6.318210e+001
4.275000e+001	-6.322180e+001
4.300000e+001	-6.362848e+001
4.325000e+001	-6.415525e+001
4.350000e+001	-6.441805e+001
4.375000e+001	-6.420446e+001
4.400000e+001	-6.372264e+001
4.425000e+001	-6.333974e+001
4.450000e+001	-6.327999e+001
4.475000e+001	-6.358458e+001
4.500000e+001	-6.413148e+001
4.525000e+001	-6.464529e+001
4.550000e+001	-6.482236e+001
4.575000e+001	-6.461294e+001
4.600000e+001	-6.426797e+001
4.625000e+001	-6.407248e+001
4.650000e+001	-6.417352e+001
4.675000e+001	-6.457518e+001
4.700000e+001	-6.514882e+001
4.725000e+001	-6.564676e+001
4.750000e+001	-6.581507e+001
4.775000e+001	-6.560879e+001
4.800000e+001	-6.522869e+001
4.825000e+001	-6.491498e+001
4.850000e+001	-6.480676e+001
4.875000e+001	-6.492758e+001
4.900000e+001	-6.520017e+001
4.925000e+001	-6.545795e+001
4.950000e+001	-6.550133e+001
4.975000e+001	-6.523366e+001
5.000000e+001	-6.474550e+001
5.025000e+001	-6.422974e+001
5.050000e+001	-6.384452e+001
5.075000e+001	-6.366100e+001
5.100000e+001	-6.366639e+001
5.125000e+001	-6.377460e+001
5.150000e+001	-6.385181e+001
5.175000e+001	-6.378068e+001
5.200000e+001	-6.353880e+001
5.225000e+001	-6.321463e+001
5.250000e+001	-6.293729e+001
5.275000e+001	-6.280412e+001
5.300000e+001	-6.285308e+001
5.325000e+001	-6.306231e+001
5.350000e+001	-6.335865e+001
5.375000e+001	-6.364072e+001
5.400000e+001	-6.382346e+001
5.425000e+001	-6.388842e+001
5.450000e+001	-6.389229e+001
5.475000e+001	-6.392345e+001
5.500000e+001	-6.405512e+001
5.525000e+001	-6.431872e+001
5.550000e+001	-6.470163e+001
5.575000e+001	-6.514807e+001
5.600000e+001	-6.557055e+001
5.625000e+001	-6.587300e+001
5.650000e+001	-6.598695e+001
5.675000e+001	-6.589957e+001
5.700000e+001	-6.565351e+001
5.725000e+001	-6.531841e+001
